symbol,category,detail,sector,firm_type,sigma_A,drift_regime,determination,model_letter,agency_approx,financial_currency,price_currency
PYPL,DEFECTIVE_DRIFT,drift t=-0.81,Financial Services,NONFINANCIAL,0.38973169250083667,DEFECTIVE,NOT_RATED,,A-,USD,USD
BLK,RATED,AAA-,Financial Services,UNKNOWN,0.25409403544609155,VALID,PINNED_AT_FLOOR,AAA-,AA-,USD,USD
BX,RATED,AAA-,Financial Services,UNKNOWN,0.3357667468475078,VALID,PINNED_AT_FLOOR,AAA-,A+,USD,USD
SPGI,RATED,AAA-,Financial Services,UNKNOWN,0.2926085047922711,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
BRK-B,MODEL_NOT_APPLICABLE,INSURER_RESERVE_LIABILITIES,Financial Services,INSURER,0.13713747716273197,VALID,MODEL_NOT_APPLICABLE,,AA,USD,USD
AIG,MODEL_NOT_APPLICABLE,INSURER_RESERVE_LIABILITIES,Financial Services,INSURER,0.22056694721001002,VALID,MODEL_NOT_APPLICABLE,,BBB+,USD,USD
MET,MODEL_NOT_APPLICABLE,INSURER_RESERVE_LIABILITIES,Financial Services,INSURER,0.20098185364675414,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
ALL,MODEL_NOT_APPLICABLE,INSURER_RESERVE_LIABILITIES,Financial Services,INSURER,0.2275284060531746,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
PGR,MODEL_NOT_APPLICABLE,INSURER_RESERVE_LIABILITIES,Financial Services,INSURER,0.2514397796675366,VALID,MODEL_NOT_APPLICABLE,,A,USD,USD
PLD,MODEL_NOT_APPLICABLE,REIT_ASSET_STRUCTURE,Real Estate,REIT,0.1969673096984355,VALID,MODEL_NOT_APPLICABLE,,A,USD,USD
AMT,MODEL_NOT_APPLICABLE,REIT_ASSET_STRUCTURE,Real Estate,REIT,0.19966964201368442,DEFECTIVE,MODEL_NOT_APPLICABLE,,BBB-,USD,USD
SPG,MODEL_NOT_APPLICABLE,REIT_ASSET_STRUCTURE,Real Estate,REIT,0.16717649230111006,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
O,MODEL_NOT_APPLICABLE,REIT_ASSET_STRUCTURE,Real Estate,REIT,0.13096405242429804,VALID,MODEL_NOT_APPLICABLE,,A-,USD,USD
EQIX,MODEL_NOT_APPLICABLE,REIT_ASSET_STRUCTURE,Real Estate,REIT,0.20409568266952682,VALID,MODEL_NOT_APPLICABLE,,BBB,USD,USD
NEE,RATED,AAA-,Utilities,NONFINANCIAL,0.16872702978177834,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
DUK,RATED,AAA,Utilities,NONFINANCIAL,0.10384348226916665,VALID,PINNED_AT_SCALE_TOP,AAA,BBB+,USD,USD
SO,RATED,AAA-,Utilities,NONFINANCIAL,0.12285973186901977,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
D,RATED,AAA-,Utilities,NONFINANCIAL,0.13773864212282305,VALID,SCALE_RESOLVED,AAA-,BBB+,USD,USD
XEL,RATED,AAA-,Utilities,NONFINANCIAL,0.14144195054078257,VALID,SCALE_RESOLVED,AAA-,BBB+,USD,USD
PCG,RATED,AA-,Utilities,NONFINANCIAL,0.1540006349353078,VALID,SCALE_RESOLVED,AA-,BB+,USD,USD
VST,RATED,BBB+,Utilities,NONFINANCIAL,0.4155317769762757,VALID,SCALE_RESOLVED,BBB+,BB+,USD,USD
XOM,RATED,AAA-,Energy,NONFINANCIAL,0.23915111309067225,VALID,PINNED_AT_FLOOR,AAA-,AA-,USD,USD
CVX,RATED,AAA-,Energy,NONFINANCIAL,0.21529096305533393,VALID,PINNED_AT_FLOOR,AAA-,AA-,USD,USD
COP,RATED,AAA-,Energy,NONFINANCIAL,0.2698821875209168,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
OXY,DEFECTIVE_DRIFT,drift t=-0.11,Energy,NONFINANCIAL,0.2763607696619451,DEFECTIVE,NOT_RATED,,BBB-,USD,USD
SLB,RATED,AAA-,Energy,NONFINANCIAL,0.3135285147255355,VALID,PINNED_AT_FLOOR,AAA-,A,USD,USD
KMI,RATED,AAA,Energy,NONFINANCIAL,0.16069090850204848,VALID,PINNED_AT_SCALE_TOP,AAA,BBB,USD,USD
APA,RATED,A+,Energy,NONFINANCIAL,0.36700350239222324,VALID,SCALE_RESOLVED,A+,BB+,USD,USD
BTU,DEFECTIVE_DRIFT,drift t=-0.06,Energy,NONFINANCIAL,0.5437214917992675,DEFECTIVE,NOT_RATED,,B+,USD,USD
RIG,DEFECTIVE_DRIFT,drift t=-0.44,Energy,NONFINANCIAL,0.3363878401213706,DEFECTIVE,NOT_RATED,,CCC+,USD,USD
LLY,RATED,AAA,Healthcare,NONFINANCIAL,0.37499153945750513,VALID,PINNED_AT_SCALE_TOP,AAA,A+,USD,USD
UNH,DEFECTIVE_DRIFT,drift t=-0.03,Healthcare,NONFINANCIAL,0.3480342797228875,DEFECTIVE,NOT_RATED,,A+,USD,USD
PFE,DEFECTIVE_DRIFT,drift t=-0.52,Healthcare,NONFINANCIAL,0.19367556668342492,DEFECTIVE,NOT_RATED,,A,USD,USD
MRK,RATED,AAA-,Healthcare,NONFINANCIAL,0.25572517937629274,VALID,PINNED_AT_FLOOR,AAA-,A+,USD,USD
ABBV,RATED,AAA-,Healthcare,NONFINANCIAL,0.23488442259952452,VALID,PINNED_AT_FLOOR,AAA-,BBB+,USD,USD
AMGN,RATED,AAA-,Healthcare,NONFINANCIAL,0.23010120050320299,VALID,SCALE_RESOLVED,AAA-,BBB+,USD,USD
CVS,RATED,AA,Healthcare,NONFINANCIAL,0.22104467162055783,VALID,SCALE_RESOLVED,AA,BBB,USD,USD
MRNA,DEFECTIVE_DRIFT,drift t=-0.89,Healthcare,NONFINANCIAL,0.6583951953971959,DEFECTIVE,NOT_RATED,,,USD,USD
HCA,RATED,AA-,Healthcare,NONFINANCIAL,0.2299621442494987,VALID,SCALE_RESOLVED,AA-,BBB-,USD,USD
THC,RATED,BBB+,Healthcare,NONFINANCIAL,0.3004102529124539,VALID,SCALE_RESOLVED,BBB+,B+,USD,USD
CYH,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Healthcare,NONFINANCIAL,0.09839864276438051,DEFECTIVE,MODEL_NOT_APPLICABLE,,CCC+,USD,USD
KO,RATED,AAA,Consumer Defensive,NONFINANCIAL,0.16636677352256363,VALID,PINNED_AT_SCALE_TOP,AAA,A+,USD,USD
WMT,RATED,AAA,Consumer Defensive,NONFINANCIAL,0.23493088090977404,VALID,PINNED_AT_SCALE_TOP,AAA,AA,USD,USD
COST,RATED,AAA,Consumer Defensive,NONFINANCIAL,0.19523892586682526,VALID,PINNED_AT_SCALE_TOP,AAA,A+,USD,USD
TGT,DEFECTIVE_DRIFT,drift t=-0.03,Consumer Defensive,NONFINANCIAL,0.2541154430287529,DEFECTIVE,NOT_RATED,,A,USD,USD
NKE,DEFECTIVE_DRIFT,drift t=-1.47,Consumer Cyclical,NONFINANCIAL,0.3369867342061656,DEFECTIVE,NOT_RATED,,AA-,USD,USD
DIS,RATED,AAA-,Communication Services,NONFINANCIAL,0.2230357413009057,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
DG,DEFECTIVE_DRIFT,drift t=-1.03,Consumer Defensive,NONFINANCIAL,0.2716562487485406,DEFECTIVE,NOT_RATED,,BBB,USD,USD
DLTR,DEFECTIVE_DRIFT,drift t=-0.44,Consumer Defensive,NONFINANCIAL,0.3409255716452505,DEFECTIVE,NOT_RATED,,BBB,USD,USD
KHC,DEFECTIVE_DRIFT,drift t=-0.48,Consumer Defensive,NONFINANCIAL,0.1894254266156416,DEFECTIVE,NOT_RATED,,BBB,USD,USD
GIS,DEFECTIVE_DRIFT,drift t=-1.15,Consumer Defensive,NONFINANCIAL,0.19546669934067196,DEFECTIVE,NOT_RATED,,BBB,USD,USD
KSS,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Consumer Cyclical,NONFINANCIAL,0.29410183082557595,DEFECTIVE,MODEL_NOT_APPLICABLE,,BB,USD,USD
M,RATED,BBB,Consumer Cyclical,NONFINANCIAL,0.29385543059543356,VALID,SCALE_RESOLVED,BBB,BB-,USD,USD
W,RATED,BBB-,Consumer Cyclical,NONFINANCIAL,0.5558766982600175,VALID,SCALE_RESOLVED,BBB-,B+,USD,USD
BYND,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Consumer Defensive,NONFINANCIAL,1.4710318529142283,DEFECTIVE,MODEL_NOT_APPLICABLE,,CCC-,USD,USD
T,RATED,A+,Communication Services,NONFINANCIAL,0.19160559340440883,VALID,SCALE_RESOLVED,A+,BBB,USD,USD
VZ,RATED,AA-,Communication Services,NONFINANCIAL,0.15820532045763183,VALID,SCALE_RESOLVED,AA-,BBB+,USD,USD
TMUS,RATED,AA,Communication Services,NONFINANCIAL,0.23116928802143283,VALID,SCALE_RESOLVED,AA,BBB,USD,USD
CHTR,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Communication Services,NONFINANCIAL,0.20707272978991778,DEFECTIVE,MODEL_NOT_APPLICABLE,,BB+,USD,USD
WBD,RATED,A,Communication Services,NONFINANCIAL,0.3114636060120728,VALID,SCALE_RESOLVED,A,BB,USD,USD
PARA,DATA_UNAVAILABLE,NO_DATA,,UNKNOWN,,,,,BB-,,
LUMN,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Communication Services,NONFINANCIAL,0.42634485718939213,VALID,MODEL_NOT_APPLICABLE,,CCC+,USD,USD
SATS,DATA_UNAVAILABLE,INSUFFICIENT_HISTORY (EMError: insufficient clean observations (1) for EM.),Communication Services,NONFINANCIAL,,,,,CCC,USD,USD
CAT,RATED,AA+,Industrials,NONFINANCIAL,0.34802100999316005,VALID,SCALE_RESOLVED,AA+,A,USD,USD
DE,RATED,AA+,Industrials,NONFINANCIAL,0.2407941226033635,VALID,SCALE_RESOLVED,AA+,A,USD,USD
GE,RATED,AAA,Industrials,NONFINANCIAL,0.39398519273677235,VALID,PINNED_AT_SCALE_TOP,AAA,A-,USD,USD
LMT,RATED,AAA-,Industrials,NONFINANCIAL,0.26075051244473674,VALID,PINNED_AT_FLOOR,AAA-,A-,USD,USD
RTX,RATED,AAA-,Industrials,NONFINANCIAL,0.3074154896316033,VALID,SCALE_RESOLVED,AAA-,BBB+,USD,USD
FDX,RATED,AA,Industrials,NONFINANCIAL,0.21867041312220156,VALID,SCALE_RESOLVED,AA,BBB,USD,USD
MMM,RATED,AAA,Industrials,NONFINANCIAL,0.24066821542688782,VALID,PINNED_AT_SCALE_TOP,AAA,BBB+,USD,USD
XRX,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Industrials,NONFINANCIAL,0.19133224767569307,DEFECTIVE,MODEL_NOT_APPLICABLE,,BB-,USD,USD
PBI,RATED,BBB+,Industrials,NONFINANCIAL,0.23465781663898636,VALID,SCALE_RESOLVED,BBB+,B+,USD,USD
TSLA,RATED,AAA-,Consumer Cyclical,NONFINANCIAL,0.47670636949591083,VALID,PINNED_AT_FLOOR,AAA-,BBB,USD,USD
F,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Consumer Cyclical,NONFINANCIAL,0.13783877232225983,VALID,MODEL_NOT_APPLICABLE,,BBB-,USD,USD
GM,RATED,BBB-,Consumer Cyclical,NONFINANCIAL,0.19032021949588238,VALID,SCALE_RESOLVED,BBB-,BBB,USD,USD
RIVN,RATED,BB,Consumer Cyclical,NONFINANCIAL,0.5872800106409323,VALID,SCALE_RESOLVED,BB,B-,USD,USD
LCID,DEFECTIVE_DRIFT,drift t=-2.13,Consumer Cyclical,NONFINANCIAL,0.5412367271665078,DEFECTIVE,NOT_RATED,,,USD,USD
DAL,RATED,A,Industrials,NONFINANCIAL,0.32697594812746394,VALID,SCALE_RESOLVED,A,BBB-,USD,USD
UAL,RATED,BBB,Industrials,NONFINANCIAL,0.3112383735424639,VALID,SCALE_RESOLVED,BBB,BB,USD,USD
AAL,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Industrials,NONFINANCIAL,0.1945019699638145,DEFECTIVE,MODEL_NOT_APPLICABLE,,B+,USD,USD
CCL,RATED,BBB,Consumer Cyclical,NONFINANCIAL,0.33912455236354905,VALID,SCALE_RESOLVED,BBB,BB,USD,USD
RCL,RATED,A,Consumer Cyclical,NONFINANCIAL,0.40507156549047507,VALID,SCALE_RESOLVED,A,BB+,USD,USD
NCLH,RATED,BB-,Consumer Cyclical,NONFINANCIAL,0.30086068710544794,VALID,SCALE_RESOLVED,BB-,B+,USD,USD
MGM,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Consumer Cyclical,NONFINANCIAL,0.1506628071907259,DEFECTIVE,MODEL_NOT_APPLICABLE,,BB-,USD,USD
CZR,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Consumer Cyclical,NONFINANCIAL,0.14011788169905176,DEFECTIVE,MODEL_NOT_APPLICABLE,,B,USD,USD
COIN,RATED,BBB-,Financial Services,UNKNOWN,0.6364619490336358,VALID,SCALE_RESOLVED,BBB-,BB-,USD,USD
MSTR,RATED,BB+,Technology,NONFINANCIAL,0.68861988942223,VALID,SCALE_RESOLVED,BB+,B-,USD,USD
GME,RATED,A,Consumer Cyclical,NONFINANCIAL,0.31938453459185445,VALID,SCALE_RESOLVED,A,,USD,USD
AMC,MODEL_NOT_APPLICABLE,ASSETS_BELOW_TOTAL_DEBT,Communication Services,NONFINANCIAL,0.2842394495207514,DEFECTIVE,MODEL_NOT_APPLICABLE,,CCC+,USD,USD
PLTR,RATED,AAA,Technology,NONFINANCIAL,0.5181649652159218,VALID,PINNED_AT_SCALE_TOP,AAA,,USD,USD
ARM,RATED,AAA-,Technology,NONFINANCIAL,0.7214842623451546,VALID,PINNED_AT_FLOOR,AAA-,,USD,USD
CAVA,RATED,AA,Consumer Cyclical,NONFINANCIAL,0.5679884205462922,VALID,SCALE_RESOLVED,AA,,USD,USD
KVUE,DEFECTIVE_DRIFT,drift t=-0.18,Consumer Defensive,NONFINANCIAL,0.28505582397762724,DEFECTIVE,NOT_RATED,,BBB+,USD,USD
RDDT,RATED,AAA-,Communication Services,NONFINANCIAL,0.6802427854189761,VALID,PINNED_AT_FLOOR,AAA-,,USD,USD
ALAB,RATED,AAA-,Technology,NONFINANCIAL,0.9641121998747096,VALID,PINNED_AT_FLOOR,AAA-,,USD,USD
TEM,RATED,BBB,Healthcare,NONFINANCIAL,0.623187342433148,VALID,SCALE_RESOLVED,BBB,,USD,USD
BIRK,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Consumer Cyclical,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,BB+,EUR,USD
GEHC,DEFECTIVE_DRIFT,drift t=-0.46,Healthcare,NONFINANCIAL,0.2878057208074573,DEFECTIVE,NOT_RATED,,BBB,USD,USD
SOLV,RATED,AAA,Healthcare,NONFINANCIAL,0.24638607482337535,VALID,PINNED_AT_SCALE_TOP,AAA,BBB,USD,USD
LINE,MODEL_NOT_APPLICABLE,REIT_ASSET_STRUCTURE,Real Estate,REIT,0.26892216328464164,DEFECTIVE,MODEL_NOT_APPLICABLE,,BBB+,USD,USD
TSM,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Technology,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,AA-,TWD,USD
BABA,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Consumer Cyclical,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,A+,CNY,USD
NVO,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Healthcare,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,AA-,DKK,USD
SAP,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Technology,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,A+,EUR,USD
TM,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Consumer Cyclical,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,A+,JPY,USD
ASML,MODEL_NOT_APPLICABLE,REPORTING_CURRENCY_MISMATCH,Technology,NONFINANCIAL,,,MODEL_NOT_APPLICABLE,,A,EUR,USD
AZN,RATED,AAA-,Healthcare,NONFINANCIAL,0.2578497781353768,VALID,PINNED_AT_FLOOR,AAA-,A,USD,USD
SHEL,RATED,AAA-,Energy,NONFINANCIAL,0.1821111635969585,VALID,PINNED_AT_FLOOR,AAA-,A+,USD,USD
NKLA,DATA_UNAVAILABLE,NO_DATA,,UNKNOWN,,,,,,,
SPWR,DEFECTIVE_DRIFT,drift t=-2.38,Technology,NONFINANCIAL,0.5554969532541405,DEFECTIVE,NOT_RATED,,,USD,USD
FSR,DATA_UNAVAILABLE,NO_DATA,,UNKNOWN,,,,,,USD,
